no,text,translate,label1,label2,average
1,padahal ppkm sudah putus pada tanggal harus sudah mulai dijalanin tanggal bukan tanggal bahkan wna masih boleh masuk hingga tanggal,"even though PPKM has been broken on the date it must have started on the date not the date, even foreigners can still enter until the date",0,0,0
2,since ppkm yg bikin mood ancur bikin frustrated gimana cara dapet uang gimana cara biar bisa bayar ini bayar sampe nafsu makan aja,"since it was PPKM that ruined the mood and made me frustrated, how do I get money, how can I pay for this, just pay until I have an appetite",0,0,0
3,ppkm belum hilang sudah ancam prediksi gelombang ke entah mau sampai gelombang berapa ken banget rakyat,"PPKM hasn't disappeared, it's already threatening to predict what wave will come, how many waves do people really want",0,0,0
4,paksa karna ppkm,forced because of ppkm,0,0,0
5,wali kota malang bukti langgar vonis denda juta,the mayor of Malang is proof of violating the sentence of a million fine,0,0,0
6,wali kota malang sutiaji jatuh sanksi upa denda besar juta karena bukti langgar atur pada masa ppkm level dalam giat sepeda tuju pantai kondang kabupaten malang pada september,"The mayor of Malang, Sutiaji, has been penalized with a large fine of Rp. 100,000 for evidence of violating the regulations during the PPKM level in the bicycle activity to the famous beach, Malang Regency, in September.",0,0,0
7,saya pernah telpon ke salah satu mau lapor kerumun kantor yg tidak ikut ppkm eh yg ga di ruweeetttt ria omdo,"I once called someone who wanted to report to the office crowd who didn't join PPKM, eh, those who weren't ruweeetttt ria omdo",0,0,0
8,humas pn kepanjen muhamad aulia reza utama jelas erik dan arif yang jadi dakwa kompak aku salah langgar atur,"Public Relations Pn Kepanjen Muhammad Aulia Reza Utama, clearly Erik and Arif, who became the compact indictment, I violated the rules",0,0,0
9,dalam sidang tindak pidana ringan sutiaji dan rombong vonis telah langgar prokes ppkm level dan atur gubernur jawa,"In the trial for minor crimes, Sutiaji and Rombong, the verdict had violated the PPKM level and regulated the governor of Java.",0,0,0
10,yang langgar atur ppkm ya harus kena entah jabat atau rakyat,Those who violate the PPKM rules must be hit either by office or by the people,0,0,0
11,wali sekretaris dan kepala bagi umum perintah kota malang vonis salah langgar atur mereka harus bayar denda total rp juta atau subsider penjara bas,"guardian, secretary and head of public affairs, the Malang city orders the verdict for violating the rules, they must pay a total fine of IDR million or a subsidiary prison bus",0,0,0
12,sudah dari zaman ppkm larang cuti yang mana,It's been from the PPKM era which leave forbid,0,0,0
13,lah langgar ppkm kyknya emang masuk tindak pidana ringan,"If you violate PPKM, it looks like it's a minor crime",0,0,0
14,serius ada langgar ppkm yang putus hukum sampe bas tahun,"Seriously, there is a PPKM violation that breaks the law until the bus last year",0,0,0
15,ppkm bukan bikin langit makin biru mala jadi abu abu dan buat susah nafas siapa yang rasa itu akhir akhir,"PPKM doesn't make the sky bluer and it turns gray and makes it hard to breathe, who thinks it's the end",0,0,0
16,tanpa ppkm corona jg bakal ilang dengan sendiri otak batu,without ppkm corona will also disappear by itself with a stone brain,0,0,0
17,dinas sehat klaten terus upaya cegah kasus upaya sebut kendala pantau sebab ada bagai batas dampak dari pandemi,The Klaten Health Service continues to try to prevent cases of trying to call it a monitoring problem because there is a limit to the impact of the pandemic,0,0,0
18,mana masa ppkm bukan makin kaya malah makin dompet pun makin kering,"Where is the PPKM period not getting richer, even the wallet is getting drier",0,0,0
19,jika tidak bayar maka akan ganti dengan kurung penjara lama hari,"If you don't pay, you will be replaced with a long prison term",0,0,0
20,iya tau dia ngelanggar atur ppkm korea yg gaboleh keluar malem malem buat nongkrong,"Yes, I know he violated the Korean PPKM rules that he can't go out at night to hang out",0,0,0
21,ppkm setor pada macet nih,ppkm deposit is stuck,0,0,0
22,capai vaksinasi rendah jadi sebab pandeglang terap ppkm level,achieve low vaccination so the reason for pandeglang is to apply ppkm level,0,0,0
23,politis partai demokrat sebut sama rombong anggap telah laku tindak pidana ringan atau tipiring karena langgar protokol sehat ppkm level dan atur gubernur,Democratic party politicians say that the same rombong considers that they have committed a minor crime because they have violated the PPKM level healthy protocol and regulate the governor,0,0,0
24,di ruwetnesia msh jebak ppkm trs sampai bodoh mana mana,"In Ruwetnesia, you are still trapped by PPKM, so stupid everywhere",0,0,0
25,vonis ini ujung dari langgar protokol sehat ketika wali kota malang sutiaji gowes di pantai kondang merak saat ppkm level,"This verdict is the end of violating healthy protocol when the mayor of Malang, Sutiaji, goes to the famous Merak Beach during PPKM level.",0,0,0
26,udah semenjak ppkm jadi level jkt dah macet lagi,"It's been since PPKM became JKT level, it's stuck again",0,0,0
27,ya ga wajar wong lagi ppkm level terus udah tau juga kalau si haters nya itu di luar elu orang tua dan anak kecil yang ga tau photonya elu posting di ck ck ck ck ga abis pikir aku mah,"Yes, it's not natural that people are at PPKM level and you already know that the haters are outside of you, parents and small children who don't know your photo posted on tsk tsk tsk tsk, I didn't think I was",0,0,0
28,tagih dari bank mulai lagi karna ppkm udh longgar dan mereka datang tidak sesuai protokol baru datang dc malah mau masuk dalam skalian bisa ngobrol dan minta ga mau karena rumah ada orang tua yg sakit saya takut,"the bill from the bank started again because the PPKM was loose and they came not according to the protocol, just arrived dc instead they wanted to join you, you can chat and ask if you don't want to because there are sick parents at home, I'm afraid",0,0,0
29,makin jepit aja rezim medis fakta fakta balik serang ppkm abal,"The medical regime is getting tighter, the facts behind the fake PPKM attack",0,0,0
30,ppkm gak msk jokowi bego gilo gilo lo,"PPKM doesn't see Jokowi, you're stupid, you're crazy",0,0,0
31,dki sulit turun ke ppkm level meski corona sudah rendah detikhealth,dki is difficult to get down to ppkm level even though corona is already low detikhealth,0,0,0
32,tp harus dibreakdown apa apa ppkm wilayah dgn kunci atau dgn steril atau gitu,But it has to be broken down or PPkm the area with a key or with a sterile or something like that,0,0,0
33,pelan pelan kami marah,slowly we get angry,0,0,0
34,di facebook ada yang bilang kalo bansos henti walaupun ppkm,on facebook someone said that social assistance stopped even though ppkm,0,0,0
35,ppkm kasus celaka di batu pada akhir september naik angka banyak,PPKM cases of accidents in Batu at the end of September increased by a lot,0,0,0
36,cb elaborasi lg capai ppkm ini bs kurang mobilitas duduk provinsi brp jgn main asal klaim gt lah,cb elaboration lg achieve this ppkm can lack mobility sitting in what province don't play as long as you claim gt,0,0,0
37,kalo udah bs prediksi gin ngapa itu bandara mau buka buat orang ppkm serah negara aja kalo gelombang tiga datang juang aja,"If you can predict why the airport will open for PPKM people, just leave the country if the third wave comes, just fight",0,0,0
